Leaf	All	Syn	Mis	ORF10syn	ORF10mis
hCoV-19/USA/NC-USAFSAM-S0116/2021|EPI_ISL_982657|2021-01-06|B.1.1.416	13	5	8	0	0
hCoV-19/USA/OH-SRL_254602759/2020|EPI_ISL_1941717|2020-09-08|B.1.1	8	2	6	0	0
hCoV-19/USA/OH-ODH-SC045795/2020|EPI_ISL_2462437|2020-06-23|B.1.1.263	7	2	5	0	0
hCoV-19/USA/OH-QDX-3421/2020|EPI_ISL_876968|2020-06-14|B.1.1.263	7	2	5	0	0
hCoV-19/USA/OH-OSU-20AM-365CO00381/2020|EPI_ISL_1911026|2020-12-30|B.1.1.317	20	12	8	0	0
hCoV-19/USA/OH-CDC-ASC210055099/2021|EPI_ISL_2035116|2021-04-10|N.5	23	8	15	0	0
hCoV-19/USA/OH-CDC-ASC210051195/2021|EPI_ISL_1836504|2021-04-07|N.5	23	8	15	0	0
hCoV-19/USA/OH-ODH-SC0164981/2020|EPI_ISL_2558207|2020-11-22|B.1.1.380	16	8	8	0	0
hCoV-19/USA/OH-ODH-SC0058587/2020|EPI_ISL_2626436|2020-07-13|B.1.1.482	8	5	3	0	0
hCoV-19/USA/OH-ODH-SC0058582/2020|EPI_ISL_2626435|2020-07-16|B.1.1.482	7	4	3	0	0
hCoV-19/USA/OH-ODH-SC57783/2020|EPI_ISL_965032|2020-07-14|B.1.1.135	7	3	4	0	0
hCoV-19/USA/OH-ODH-SC1028627/2021|EPI_ISL_2521327|2021-01-07|B.1.1.392	12	3	9	0	0
hCoV-19/USA/OH-ODH-SC169287/2020|EPI_ISL_889443|2020-11-28|B.1.1.392	8	3	5	0	0
hCoV-19/USA/OH-CWRU_CICB21016_CB91/2020|EPI_ISL_12828374|2020-06-25|B.1.1.161	5	1	4	0	0
hCoV-19/USA/OH-21AM-061CO00226/2021|EPI_ISL_2399578|2021-03-02|B.1.1.161	5	1	4	0	0
hCoV-19/USA/OH-21AM-098CO03077/2021|EPI_ISL_2341350|2021-04-08|B.1.1	6	2	4	0	0
hCoV-19/USA/OH-21AM-056CO03696/2021|EPI_ISL_2399714|2021-02-25|B.1.1.222	7	1	6	0	0
hCoV-19/USA/TX-USAFSAM-S0241/2021|EPI_ISL_982656|2021-01-05|B.1.1.222	17	7	10	1	1
hCoV-19/USA/OH-ODH-SC178544/2020|EPI_ISL_911514|2020-12-09|B.1.1.186	13	5	8	0	0
hCoV-19/USA/OH-ODH-SC153988/2020|EPI_ISL_1181820|2020-11-08|B.1.1.186	12	4	8	0	0
hCoV-19/USA/OH-ODH-SC153986/2020|EPI_ISL_1181819|2020-11-08|B.1.1.186	12	4	8	0	0
hCoV-19/USA/OH-ODH-SC0067436/2020|EPI_ISL_2646299|2020-07-24|B.1.1.437	11	8	3	0	0
hCoV-19/USA/OH-ODH-SC048323/2020|EPI_ISL_2464167|2020-06-28|B.1.1.437	12	8	4	0	0
hCoV-19/USA/OH-QDX-3423/2020|EPI_ISL_876961|2020-07-07|B.1.1.437	13	7	6	0	0
hCoV-19/USA/OH-ODH-SC51595/2020|EPI_ISL_852620|2020-07-07|B.1.1.437	11	6	5	0	0
hCoV-19/USA/OH-ODH-SC049226/2020|EPI_ISL_2464378|2020-06-30|B.1.1.437	12	6	6	0	0
hCoV-19/USA/OH-ODH-SC50910/2020|EPI_ISL_846600|2020-07-03|B.1.1.437	11	7	4	0	0
hCoV-19/USA/OH-ODH-SC049953/2020|EPI_ISL_2464412|2020-07-01|B.1.1.437	10	6	4	0	0
hCoV-19/USA/OH-ODH-SC0062548/2020|EPI_ISL_2642546|2020-07-17|B.1.1.437	10	6	4	0	0
hCoV-19/USA/OH-ODH-SC055811/2020|EPI_ISL_2484157|2020-07-14|B.1.1.437	10	6	4	0	0
hCoV-19/USA/OH-ODH-SC0067452/2020|EPI_ISL_2646300|2020-07-23|B.1.1.437	10	6	4	0	0
hCoV-19/USA/OH-ODH-SC46198/2020|EPI_ISL_824387|2020-06-24|B.1.1.231	7	3	4	0	0
hCoV-19/USA/OH-ODH-SC043044/2020|EPI_ISL_2462313|2020-06-09|B.1.1.231	6	2	4	0	0
hCoV-19/USA/OH-ODH-SC041697/2020|EPI_ISL_2375502|2020-06-03|B.1.1.231	5	2	3	0	0
hCoV-19/USA/OH-CWRU_CICB20051_CB4/2020|EPI_ISL_12828314|2020-07-18|B.1.1.8	6	1	5	0	0
hCoV-19/USA/OH-ODH-SC1045158/2021|EPI_ISL_1318290|2021-02-26|B.1.1.434	19	6	13	0	0
hCoV-19/USA/OH-ODH-SC1045163/2021|EPI_ISL_1318605|2021-02-26|B.1.1.434	18	6	12	0	0
hCoV-19/USA/OH-ODH-SC1045159/2021|EPI_ISL_1318291|2021-02-26|B.1.1.434	18	6	12	0	0
hCoV-19/USA/OH-ODH-SC1045161/2021|EPI_ISL_1318292|2021-02-26|B.1.1.434	18	6	12	0	0
hCoV-19/USA/OH-21AM-039CO00061/2021|EPI_ISL_2312912|2021-02-08|B.1.1.434	17	3	14	0	0
hCoV-19/USA/OH-21AM-029CO02310/2021|EPI_ISL_2312828|2021-01-29|B.1.1.434	18	6	12	0	0
hCoV-19/USA/OH-CDC-QDX21487962/2021|EPI_ISL_1087210|2021-01-25|B.1.1.434	17	4	13	0	0
hCoV-19/USA/OH-CDC-QDX21486654/2021|EPI_ISL_1086973|2021-01-25|B.1.1.434	17	4	13	0	0
hCoV-19/USA/OH-21AM-017CO00061/2021|EPI_ISL_2100903|2021-01-17|B.1.1.434	13	4	9	0	0
hCoV-19/USA/OH-OSU-21AM-006CO00115/2021|EPI_ISL_1911079|2021-01-06|B.1.1.434	13	4	9	0	0
hCoV-19/USA/OH-CWRU_CICB20051_CB3/2020|EPI_ISL_12828313|2020-07-17|B.1.1.161	12	6	6	0	0
hCoV-19/USA/OH-ODH-SC152450/2020|EPI_ISL_1180254|2020-11-06|B.1.1	12	6	6	0	0
hCoV-19/USA/OH-ODH-SC51220/2020|EPI_ISL_847824|2020-07-04|B.1.1.337	21	10	11	0	0
hCoV-19/USA/OH-ODH-SC57769/2020|EPI_ISL_965030|2020-07-15|B.1.1.337	24	12	12	0	0
hCoV-19/USA/OH-CDC-QDX22031657/2021|EPI_ISL_1159499|2021-02-14|B.1.1.337	24	8	16	0	0
hCoV-19/USA/OH-CDC-22031657/2021|EPI_ISL_1292003|2021-02-14|B.1.1.337	24	8	16	0	0
hCoV-19/USA/OH-CDC-QDX22030597/2021|EPI_ISL_1159501|2021-02-14|B.1.1.337	23	8	15	0	0
hCoV-19/USA/OH-CDC-22030597/2021|EPI_ISL_1292005|2021-02-14|B.1.1.337	23	8	15	0	0
hCoV-19/USA/OH-OSU-20AM-358CO01089/2020|EPI_ISL_1911020|2020-12-28|B.1.1.337	21	10	11	0	0
hCoV-19/USA/OH-CDC-STM-A100394/2021|EPI_ISL_876718|2021-01-06|B.1.1.337	25	10	15	0	0
hCoV-19/USA/OH-CDC-ASC210000006/2021|EPI_ISL_2242508|2021-03-02|B.1.1.337	24	11	13	0	0
hCoV-19/USA/OH-CDC-STM-000004231/2021|EPI_ISL_966649|2021-01-21|B.1.1.337	21	10	11	0	0
hCoV-19/USA/OH-CDC-QDX22251725/2021|EPI_ISL_1194216|2021-02-17|B.1.1.265	18	7	11	0	0
hCoV-19/USA/OH-21AM-019CO03643/2021|EPI_ISL_2100950|2021-01-19|B.1.1.265	13	4	9	0	0
hCoV-19/USA/OH-CDC-2-3693592/2020|EPI_ISL_747127|2020-10-30|B.1.1.265	11	2	9	0	0
hCoV-19/USA/OH-2103/2021|EPI_ISL_2454536|2021-04-05|R.1	24	8	16	0	0
hCoV-19/USA/OH-CDC-STM-000048377/2021|EPI_ISL_1691362|2021-04-01|R.1	20	9	11	0	0
hCoV-19/USA/OH-CDC-ASC210044133/2021|EPI_ISL_1688855|2021-04-03|R.1	20	6	14	0	0
hCoV-19/USA/OH-21AM-093CO00522/2021|EPI_ISL_2153788|2021-04-03|R.1	23	8	15	0	0
hCoV-19/USA/OH-21AM-090CO03015/2021|EPI_ISL_2153798|2021-03-31|R.1	23	8	15	0	0
hCoV-19/USA/OH-JML-COHMAR001/2021|EPI_ISL_1239140|2021-03-05|R.1	20	7	13	0	0
hCoV-19/USA/OH-CDC-IBX151335012789/2021|EPI_ISL_1795616|2021-04-09|R.1	20	7	13	0	0
